,team_id,Assists,Goals,Shots,Hits,Blocked Shots,number_of_wins
0,1,662,404,4605,3305,2191,1691
1,2,825,495,5252,5204,3032,1743
2,3,771,456,4630,3731,2292,1768
3,4,865,506,5182,3798,2380,1735
4,5,854,504,5164,4496,2225,1786
5,6,993,592,6134,4745,2518,1822
6,7,690,414,4718,2882,1762,1669
7,8,778,474,5476,4389,2224,1732
8,9,725,432,4603,3761,2451,1709
9,10,922,550,5451,2963,2185,1709
10,12,874,518,5730,4023,2149,1705
11,13,856,498,5033,3250,2155,1682
12,14,1108,647,5792,5110,2528,1804
13,15,910,543,5087,4165,2415,1789
14,16,845,496,5099,3077,2278,1771
15,17,625,366,4317,3327,2008,1713
16,18,772,470,5345,2898,2296,1762
17,19,951,564,5865,4205,2480,1794
18,20,894,533,5313,3030,2212,1709
19,21,993,589,5877,3826,2798,1731
20,22,775,463,4599,3849,2284,1686
21,23,820,491,5037,3681,2682,1736
22,24,612,378,4377,3495,2139,1739
23,25,832,499,5841,4880,3056,1761
24,26,624,376,4682,3367,2031,1744
25,28,914,527,5413,3784,2344,1787
26,29,798,490,5515,3832,2533,1721
27,30,737,438,4766,2848,2244,1714
28,52,872,504,5044,3644,2185,888
29,53,667,421,4974,3654,2424,650
30,54,887,552,6231,5295,2559,468
31,87,25,17,53,1,2,6
32,88,29,22,64,0,3,6
33,89,15,10,40,0,3,4
34,90,24,15,48,0,3,4
